,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00
Mainline 13,101.7125859030837,99.55495621716288,98.03868187066975,81.54456135321101,74.53085269461079,81.62474449633089,49.79742014925373,60.59020909665194,50.99046693933197,63.5086023794615,62.058199876619376,48.45808450704225,49.4033509406657,42.125539407086045,33.94082103477523,48.54172237569061,37.26378456318915,32.30666092404072,47.600829011913106,36.713852180937,80.0007885462555,106.2258264516129,110.8749795649308,109.74858923705722,108.12318724559023,112.10279258777634,114.37643636363636,106.15025768911056
Mainline 14,99.97293468611288,97.56889048473968,95.38923522595599,74.84367367822627,75.56340226460073,75.9799755452743,44.710065106071696,62.18760563380282,51.643170629370644,59.915905745642355,57.31356828193833,50.57902098360656,48.64414498141264,43.80430271858928,32.36576,43.56441770401107,39.28615564853557,35.783063763608084,44.99360975609756,39.21244444444446,78.26234059775841,102.35688525641028,108.69684150436535,109.32213927576602,106.68725683789194,110.31413738441218,113.60921417197454,106.09965714285715
Mainline 15,93.65678536585366,95.2759583066068,87.29468269831357,77.27684313725491,79.79455042847728,57.79168181818182,52.912038372985414,64.48298969072165,57.66922053231939,59.9028195763331,66.87812834978844,53.0581477093207,41.96208431703204,41.83563095238095,34.66685492700731,42.55611175496689,36.047349953831954,40.480244480784954,40.75428240343348,39.49262863886704,61.12548484848486,62.940305415162456,89.39295479833103,97.06399064074873,99.2577795438839,104.35622126436783,113.0748656716418,104.66944779982745
Mainline 16,101.51034368932038,96.23860148656375,92.27971420643729,94.65143347131875,93.1545644983462,52.11147085541256,68.44310287081339,64.6300913907285,59.97089311010948,65.8393339587242,56.09214572864322,41.84416601101495,34.508897553516825,29.573535173642032,34.520918175235344,36.2342512864494,25.621486033519556,34.303795241528476,28.93319439579685,40.114977878985044,57.93910383189123,70.15,101.20012945590994,106.78226086956522,108.28832394366198,109.67989778413154,111.58520500988793,108.26624027993779
Mainline 17,100.50803748006379,100.1553524720893,98.41769696969698,99.71343333333334,98.69209295774648,83.17551485148515,88.46023381294964,88.57348343949046,103.26745700245701,108.80854706927177,95.65279465541491,87.60018518518518,91.32111016949155,86.09752909231963,92.04656685150957,87.47513841059602,83.59645838587642,89.40172191629956,86.10322933333333,92.91304498861048,100.28588167938933,109.36722180248248,111.84805229793979,117.10328947368421,112.08932263420033,113.54508526603001,115.49811644736842,114.26460246533127
Mainline 18,103.24748167539268,100.143711627907,87.91695094833224,80.05964081062196,76.37069687964339,52.308733160621756,76.74449056603774,68.97827071823207,70.0020283224401,66.00606769016049,58.458200151057405,49.713491228070176,45.61454596774195,36.35544971537002,62.396842251563584,43.862962717481366,43.41204499612103,55.082388646288216,37.57438848920864,65.07371805273834,73.8913928067701,85.76466712049013,103.82282477587613,108.5801888888889,110.83794368463396,108.30542012779553,113.70121035058432,109.44190076335879
Mainline 19,100.73589819494585,99.47238372930165,78.28633197556009,68.42544691186677,58.857849056603776,36.97274909747293,73.74628757721347,55.434554266777134,55.01419324430479,48.53929177057357,39.57289851268592,35.220868421052636,37.18801061007957,28.25595480225989,46.02528943338437,35.755289767841795,36.778522920203734,37.08700672834315,28.11956353055286,51.412666666666674,52.2743410728583,73.648039408867,83.68129176854116,103.36513229571983,108.45652749003985,104.76568243785084,110.57560284951025,106.82717915904936
Mainline 20,102.36423513513515,99.97976326815642,75.3582414500684,58.61329484536083,59.660578052550235,39.7200699241786,70.34389659773183,47.61740916030534,45.680344902386125,37.05427135678393,38.437177011494256,33.061530120481926,27.104599271402552,23.50202877697842,39.040203546646104,30.068485207100593,33.32093669871795,32.37318092105264,30.486448706512043,50.122366666666665,37.19406793703398,73.27496049046322,69.0255430894309,103.11474558032282,111.9804722439406,107.84626595744682,113.79651941747575,108.6711256684492
Mainline 21,101.79886585365854,100.7805153846154,89.57950983519405,83.18644283497156,57.862971268395235,48.78982118380063,73.54245818181818,60.15723588456713,59.61914736842106,53.29538164556963,50.72820000000001,45.44316181229774,48.14449557522124,46.03336247606892,59.263831512363424,51.14196186440678,56.16397409326426,53.10430325352978,55.80245371947757,67.83497397188964,59.0710667433832,77.5866322290848,71.40245454545455,102.86015662650604,118.80894192377497,114.99574074074074,118.1428354978355,113.79905620753553
Mainline 22,103.41930347672363,104.91440824468084,102.95427784577723,96.9229901599016,88.77492024539877,85.93538532110092,91.91240654205609,81.8971307814992,76.42500075930145,75.32346912590216,78.04704344729345,75.84478554595445,73.82655000000001,74.3335060240964,79.2990868935554,76.72980726464048,81.6548386167147,74.8260152931181,75.85970000000002,80.44090841248304,78.71837805782062,81.88675,77.38440677966102,96.0636157894737,108.14138979289943,108.67039686861811,110.82474008810574,107.5117409684858
